VOLUME_GB;VALOR_UD;PROJETO;TIPO_PROCESSAMENTO;PUBLICIDADE;PROGRAMA;TIPO_PROGRAMA;TECNOLOGIA;INICIO;TERMINO;DATA_PUBLICIDADE;BLOCO;CAMPO;BACIA;EAD;OPERADORA
0,09516302;1;0026_2D_CEXIS_CAMACARI_PSTM;PSTM;Publico;0026_2D_CEXIS_CAMACARI;Exclusivo;Sismica 2D;2005-11-18;2005-12-23;2010-12-23;BT-REC-7;;Reconcavo;Petrobras;Petrobras
10,53240179;1;0026_2D_CEXIS_CAMACARI_RM17;Field Data;Publico;0026_2D_CEXIS_CAMACARI;Exclusivo;Sismica 2D;2005-11-18;2005-12-23;2010-12-23;BT-REC-7;;Reconcavo;Petrobras;Petrobras
0,0337763;1;0026_2D_FURADO;PSTM;Publico;0026_2D_FURADO;Exclusivo;Sismica 2D;2008-09-24;2008-09-29;2013-09-29;;FURADO;;Petrobras;Petrobras
17,64110645;1;0026_2D_FURADO_RM17;Field Data;Publico;0026_2D_FURADO;Exclusivo;Sismica 2D;2008-09-24;2008-09-29;2013-09-29;;FURADO;;Petrobras;Petrobras
0,06189951;1;0026_2D_IPANGUACU;POST-STM;Publico;0026_2D_IPANGUACU;Exclusivo;Sismica 2D;2007-01-26;2007-04-10;2012-04-10;(multiplos);;;Petrobras;Petrobras
1,899411804;1;0026_2D_IPANGUACU_RM17;Field Data;Publico;0026_2D_IPANGUACU;Exclusivo;Sismica 2D;2007-01-26;2007-04-10;2012-04-10;(multiplos);;;Petrobras;Petrobras
;;0026_2D_IPANGUACU_RM14;Field Data;Publico;0026_2D_IPANGUACU;Exclusivo;Sismica 2D;2007-01-26;2007-04-10;2012-04-10;(multiplos);;;Petrobras;Petrobras
0,3013536;1;0026_2D_ITANHAUA_JUMA;MIG FIN;Publico;0026_2D_ITANHAUA_JUMA;Exclusivo;Sismica 2D;2003-09-08;2004-01-31;2009-01-31;BT-SOL-1;;Solimoes;Petrobras;Petrobras
122,9472024;1,229472024;0026_2D_ITANHAUA_JUMA_RM17;Field Data;Publico;0026_2D_ITANHAUA_JUMA;Exclusivo;Sismica 2D;2003-09-08;2004-01-31;2009-01-31;BT-SOL-1;;Solimoes;Petrobras;Petrobras
;;0026_2D_ITANHAUA_JUMA;Field Data;Publico;0026_2D_ITANHAUA_JUMA;Exclusivo;Sismica 2D;2003-09-08;2004-01-31;2009-01-31;BT-SOL-1;;Solimoes;Petrobras;Petrobras
