VOLUME_GB,VALOR_UD,PROJETO,TIPO_PROCESSAMENTO,PONTOS_PROCESSAMENTO,PUBLICIDADE,PROGRAMA,TIPO_PROGRAMA,TECNOLOGIA,INICIO,TERMINO,IDADE,DATA_PUBLICIDADE,BLOCO,CAMPO,BACIA,CLASS_BACIA,EAD,OPERADORA
5.566.538.855,1,0026_3D_BT_REC_19_MASSUI_RM17,Field Data,0,Publico,0026_3D_BT_REC_19_MASSUI,Exclusivo,Sismica 3D,26/12/2005,11/02/2006,17,11/02/2011,multiplos, ,Reconcavo,6,Petrobras,Petrobras
, ,0026_3D_BT_REC_19_MASSUI_RM14,Field Data,0,Publico,0026_3D_BT_REC_19_MASSUI,Exclusivo,Sismica 3D,26/12/2005,11/02/2006,17,11/02/2011,multiplos, ,Reconcavo,6,Petrobras,Petrobras
2.306.015.007,1,0026_3D_BT_REC_19_SDS_PSTM,PSTM,3.75,Publico,0026_3D_BT_REC_19_SDS,Exclusivo,Sismica 3D,07/05/2005,15/11/2005,18,15/11/2010,multiplos, ,Reconcavo,6,Petrobras,Petrobras
207.484.185,1,0026_3D_BT_REC_19_SDS_RM17,Field Data,0,Publico,0026_3D_BT_REC_19_SDS,Exclusivo,Sismica 3D,07/05/2005,15/11/2005,18,15/11/2010,multiplos, ,Reconcavo,6,Petrobras,Petrobras
0.308967949,1,0026_3D_BTES-25_PSTM,PSTM,3.75,Publico,0026_3D_BTES-25,Exclusivo,Sismica 3D,12/06/2006,19/07/2006,17,19/07/2011,multiplos, ,Espirito Santo,6,Petrobras,Petrobras
1.107.851.613,1.107.851.613,0026_3D_BTES-25_RM17,Field Data,0,Publico,0026_3D_BTES-25,Exclusivo,Sismica 3D,12/06/2006,19/07/2006,17,19/07/2011,multiplos, ,Espirito Santo,6,Petrobras,Petrobras
, ,0026_3D_BTES-25_RM14,Field Data,0,Publico,0026_3D_BTES-25,Exclusivo,Sismica 3D,12/06/2006,19/07/2006,17,19/07/2011,multiplos, ,Espirito Santo,6,Petrobras,Petrobras
0.0006069,1,0026_3D_BTREC_11_VEL,PSTM,3.75,Publico,0026_3D_BTREC_11,Exclusivo,Sismica 3D,04/02/2005,28/03/2005,18,28/03/2010,REC-T-41, ,Reconcavo,6,Petrobras,Petrobras
0.552354,1,0026_3D_BTREC_11_PSTM,PSTM,3.75,Publico,0026_3D_BTREC_11,Exclusivo,Sismica 3D,04/02/2005,28/03/2005,18,28/03/2010,REC-T-41, ,Reconcavo,6,Petrobras,Petrobras
, ,0026_3D_BTREC_11,Field Data,0,Publico,0026_3D_BTREC_11,Exclusivo,Sismica 3D,04/02/2005,28/03/2005,18,28/03/2010,REC-T-41, ,Reconcavo,6,Petrobras,Petrobras
1.121.433,1,0026_3D_CAMACARI,PSTM,3.75,Publico,0026_3D_CAMACARI,Exclusivo,Sismica 3D,12/12/2011,21/12/2011,12,21/12/2016, ,CAMAcARI,Reconcavo,6,Petrobras,Petrobras
0.7848834,1,0026_3D_CANUDOS,MIG FIN,1,Publico,0026_3D_CANUDOS,Exclusivo,Sismica 3D,06/03/2002,16/06/2002,21,16/06/2007,BT-POT-4, ,Potiguar,0,Petrobras,Petrobras
8.109.291.895,1,0026_3D_CANUDOS_RM17,Field Data,0,Publico,0026_3D_CANUDOS,Exclusivo,Sismica 3D,06/03/2002,16/06/2002,21,16/06/2007,BT-POT-4, ,Potiguar,0,Petrobras,Petrobras
, ,0026_3D_CANUDOS_RM14,Field Data,0,Publico,0026_3D_CANUDOS,Exclusivo,Sismica 3D,06/03/2002,16/06/2002,21,16/06/2007,BT-POT-4, ,Potiguar,0,Petrobras,Petrobras
0.2325538,1,0026_3D_CER_ROU,MIG FIN,1,Publico,0026_3D_CER_ROU,Exclusivo,Sismica 3D,25/09/2002,16/10/2002,21,16/10/2007, ,multiplos,Reconcavo,6,Petrobras,Petrobras
696.918.689,1,0026_3D_CER_ROU_RM17,Field Data,0,Publico,0026_3D_CER_ROU,Exclusivo,Sismica 3D,25/09/2002,16/10/2002,21,16/10/2007, ,multiplos,Reconcavo,6,Petrobras,Petrobras
0.2622313,1,0026_3D_CORREGO_DAS_PEDRAS,MIG FIN,1,Publico,0026_3D_CORREGO_DAS_PEDRAS,Exclusivo,Sismica 3D,16/08/2002,19/09/2002,21,19/09/2007,BT-ES-12,CoRREGO DAS PEDRAS,Espirito Santo,6,Petrobras,Petrobras
1.226.565.015,1,0026_3D_CORREGO_DAS_PEDRAS_RM17,Field Data,0,Publico,0026_3D_CORREGO_DAS_PEDRAS,Exclusivo,Sismica 3D,16/08/2002,19/09/2002,21,19/09/2007,BT-ES-12,CoRREGO DAS PEDRAS,Espirito Santo,6,Petrobras,Petrobras
, ,0026_3D_CORREGO_DAS_PEDRAS,Field Data,0,Publico,0026_3D_CORREGO_DAS_PEDRAS,Exclusivo,Sismica 3D,16/08/2002,19/09/2002,21,19/09/2007,BT-ES-12,CoRREGO DAS PEDRAS,Espirito Santo,6,Petrobras,Petrobras
27.489.705,1,0026_3D_CP_EMBASAMENTO,PSTM,3.75,Publico,0026_3D_CP_EMBASAMENTO,Exclusivo,Sismica 3D,31/01/2008,17/09/2008,15,17/09/2013,multiplos,multiplos,Sergipe,6,Petrobras,Petrobras
5.642.393.826,1,0026_3D_CP_EMBASAMENTO_RM17,Field Data,0,Publico,0026_3D_CP_EMBASAMENTO,Exclusivo,Sismica 3D,31/01/2008,17/09/2008,15,17/09/2013,multiplos,multiplos,Sergipe,6,Petrobras,Petrobras
, ,0026_3D_CP_EMBASAMENTO_RM14,Field Data,0,Publico,0026_3D_CP_EMBASAMENTO,Exclusivo,Sismica 3D,31/01/2008,17/09/2008,15,17/09/2013,multiplos,multiplos,Sergipe,6,Petrobras,Petrobras
0.762714,1,0026_3D_DE_PALMEIRA,MIG FIN,1,Publico,0026_3D_DE_PALMEIRA,Exclusivo,Sismica 3D,20/06/2002,21/07/2002,21,21/07/2007, ,FAZENDA POCINHO,Potiguar,0,Petrobras,Petrobras
2.639.342.603,1,0026_3D_DE_PALMEIRA_RM16,Field Data,0,Publico,0026_3D_DE_PALMEIRA,Exclusivo,Sismica 3D,20/06/2002,21/07/2002,21,21/07/2007, ,FAZENDA POCINHO,Potiguar,0,Petrobras,Petrobras
0.9018019,1,0026_3D_FALHA_LESTE_SAO_MIGUEL,MIG FIN,1,Publico,0026_3D_FALHA_LESTE_SAO_MIGUEL,Exclusivo,Sismica 3D,19/06/2001,16/10/2001,22,16/10/2006,BT-SEAL-2,multiplos,Sergipe,6,Petrobras,Petrobras
